"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
3.340967,"x",NA,191,4.96,"y",NA,398,"orangeGrp"
4.394402,"x",NA,209,12.96,"y",NA,348,"orangeGrp"
5.447837,"x",NA,227,4.96,"y",NA,398,"orangeGrp"
6.442748,"x",NA,244,7.04,"y",NA,385,"orangeGrp"
7.437659,"x",NA,261,7.04,"y",NA,385,"orangeGrp"
8.43257,"x",NA,278,6.88,"y",NA,386,"orangeGrp"
9.486005,"x",NA,296,37.92,"y",NA,192,"cherryGrp"
10.48092,"x",NA,313,20.16,"y",NA,303,"cherryGrp"
11.53435,"x",NA,331,34.08,"y",NA,216,"cherryGrp"
12.52926,"x",NA,348,41.28,"y",NA,171,"cherryGrp"
15.51399,"x",NA,399,17.12,"y",NA,322,"cherryGrp"
16.56743,"x",NA,417,16,"y",NA,329,"cherryGrp"
19.61069,"x",NA,469,37.92,"y",NA,192,"cherryGrp"
21.65903,"x",NA,504,20.96,"y",NA,298,"cherryGrp"
22.65394,"x",NA,521,28.16,"y",NA,253,"cherryGrp"
25.6972,"x",NA,573,35.04,"y",NA,210,"cherryGrp"
32.77863,"x",NA,694,55.04,"y",NA,85,"cherryGrp"
36.87532,"x",NA,764,21.12,"y",NA,297,"cherryGrp"
42.96183,"x",NA,868,40,"y",NA,179,"cherryGrp"
