"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.002257,"x",NA,106,8.851064,"y",NA,216,"orangeGrp"
4.036117,"x",NA,218,32.85106,"y",NA,75,"orangeGrp"
6.988713,"x",NA,327,14.97872,"y",NA,180,"orangeGrp"
9.995485,"x",NA,438,17.02128,"y",NA,168,"orangeGrp"
12.97517,"x",NA,548,14.12766,"y",NA,185,"orangeGrp"
15.98194,"x",NA,659,21.95745,"y",NA,139,"orangeGrp"
1.977427,"x",NA,142,16.17021,"y",NA,173,"cherryGrp"
4.957111,"x",NA,252,24.34043,"y",NA,125,"cherryGrp"
7.963883,"x",NA,363,25.02128,"y",NA,121,"cherryGrp"
10.99774,"x",NA,475,22.12766,"y",NA,138,"cherryGrp"
13.95034,"x",NA,584,30.29787,"y",NA,90,"cherryGrp"
16.95711,"x",NA,695,23.14894,"y",NA,132,"cherryGrp"
3.03386,"x",NA,181,15.65957,"y",NA,176,"kiwiGrp"
5.986456,"x",NA,290,30.97872,"y",NA,86,"kiwiGrp"
8.993228,"x",NA,401,18.04255,"y",NA,162,"kiwiGrp"
12.02709,"x",NA,513,18.7234,"y",NA,158,"kiwiGrp"
14.97968,"x",NA,622,31.82979,"y",NA,81,"kiwiGrp"
18.01354,"x",NA,734,21.10638,"y",NA,144,"kiwiGrp"
