"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1,"x",NA,95,9.375439,"y",NA,137,"orangeGrp"
2.007901,"x",NA,142,14.37193,"y",NA,48,"orangeGrp"
2.994357,"x",NA,188,11.95789,"y",NA,91,"orangeGrp"
4.002257,"x",NA,235,12.85614,"y",NA,75,"orangeGrp"
4.988713,"x",NA,281,13.81053,"y",NA,58,"orangeGrp"
5.996614,"x",NA,328,2.077193,"y",NA,267,"orangeGrp"
6.98307,"x",NA,374,1.459649,"y",NA,278,"orangeGrp"
8.012415,"x",NA,422,2.807018,"y",NA,254,"orangeGrp"
9.020316,"x",NA,469,2.638596,"y",NA,257,"orangeGrp"
10.00677,"x",NA,515,2.245614,"y",NA,264,"orangeGrp"
12.00113,"x",NA,608,3.480702,"y",NA,242,"orangeGrp"
