Subject,Sequence,Trial,SetSize,UpdateSwitch,Updating,isRecall,Stim,Side,itemSw,RT,recall_RT,ACC,recall_ACC
27166,0,1,1,repeat,update,0,o,NA,NA,1294,NA,1,1
27166,0,2,1,repeat,update,1,o,NA,NA,1294,1840,NA,1
27166,1,1,1,repeat,update,0,o,NA,NA,677,NA,1,1
27166,1,2,1,repeat,update,0,o,NA,NA,616,NA,1,1
27166,1,3,1,switch,no_update,0,o,NA,NA,586,NA,1,1
27166,1,4,1,switch,update,0,o,NA,NA,641,NA,1,1
27166,1,5,1,switch,no_update,0,x,NA,NA,625,NA,1,1
27166,1,6,1,switch,update,0,x,NA,NA,882,NA,1,1
27166,1,7,1,switch,no_update,0,x,NA,NA,947,NA,1,1
27166,1,8,1,repeat,no_update,0,x,NA,NA,423,NA,1,1
27166,1,9,1,repeat,no_update,1,x,NA,NA,423,1149,NA,1
27166,2,1,1,repeat,update,0,o,NA,NA,1326,NA,1,1
27166,2,2,1,repeat,update,0,o,NA,NA,451,NA,1,1
27166,2,3,1,repeat,update,0,x,NA,NA,799,NA,1,1
27166,2,4,1,repeat,update,0,o,NA,NA,1091,NA,1,1
27166,2,5,1,repeat,update,0,x,NA,NA,718,NA,1,1
27166,2,6,1,repeat,update,1,x,NA,NA,718,1016,NA,1
27166,3,1,1,repeat,update,0,x,NA,NA,749,NA,1,1
27166,3,2,1,repeat,update,0,o,NA,NA,743,NA,1,1
27166,3,3,1,repeat,update,0,o,NA,NA,542,NA,1,1
27166,3,4,1,repeat,update,0,o,NA,NA,495,NA,1,1
27166,3,5,1,switch,no_update,0,o,NA,NA,711,NA,1,1
27166,3,6,1,repeat,no_update,0,o,NA,NA,619,NA,1,1
27166,3,7,1,switch,update,0,o,NA,NA,675,NA,1,1
27166,3,8,1,switch,no_update,0,o,NA,NA,517,NA,1,1
27166,3,9,1,switch,update,0,x,NA,NA,862,NA,1,1
27166,3,10,1,repeat,update,0,o,NA,NA,1123,NA,1,1
27166,3,11,1,repeat,update,0,x,NA,NA,936,NA,1,1
27166,3,12,1,switch,no_update,0,o,NA,NA,900,NA,1,1
27166,3,13,1,switch,no_update,1,x,NA,NA,900,1273,NA,1
27166,4,1,1,repeat,update,0,x,NA,NA,1014,NA,1,1
27166,4,2,1,switch,no_update,0,o,NA,NA,519,NA,1,1
